"","M","N","Phi","Tau","True-ES","mean-es","es-var","rel-var","rel-sd","relbias-es","phi","rho","dcoverage","tcoverage"
"522",4,40,-0.1,0.6,1,1.08009924863789,0.0711428470556972,0.994732584018798,0.997362814636077,0.0800992486378915,-0.0423126833127966,0.210491539969061,0.8299,0.8168
"523",4,40,-0.1,0.8,0,-0.00104022565656119,0.00920580104904057,0.835046150480162,0.913808596195156,-Inf,-0.0419031913339488,0.47866369248816,0.9831,0.9837
"524",4,40,-0.1,0.8,0.5,0.572711790354415,0.0416204195951062,0.870414087057329,0.932959852864704,0.14542358070883,-0.0428103608306892,0.489378433990008,0.9311,0.8954
"525",4,40,-0.1,0.8,1,1.15726192006109,0.14318887460507,0.920208904356759,0.959275197405186,0.157261920061089,-0.0417679816369424,0.482091291804049,0.8604,0.8378
"526",4,40,0.1,0,0,0.000648183379301525,0.0208060770856991,0.982658550115991,0.991291354807451,Inf,0.142666271192978,0,0.9413,0.9415
"527",4,40,0.1,0,0.5,0.507096667162607,0.0220240211944047,0.983306469559827,0.991618106712371,0.0141933343252145,0.142270230553423,0,0.9398,0.9397
"528",4,40,0.1,0,1,1.00723296868693,0.024936984777928,0.982287556205964,0.991104210568175,0.00723296868692591,0.143583542188725,0,0.9424,0.9431
"529",4,40,0.1,0.2,0,0.000382005583961453,0.0170466062752749,0.98263880649526,0.991281396221709,Inf,0.142394727409129,0.00207797141251416,0.9592,0.9592
"530",4,40,0.1,0.2,0.5,0.508380803213803,0.0198805596519679,0.983576952538247,0.99175448198546,0.0167616064276059,0.141038443637927,0.00175083796968185,0.9535,0.9516
"531",4,40,0.1,0.2,1,1.01431387075777,0.0268137774207142,0.984907370105451,0.992424994700079,0.0143138707577724,0.140998007790759,0.00204899693217106,0.9339,0.9346
"532",4,40,0.1,0.4,0,0.000600296557082454,0.0136681237278024,0.980579309551774,0.99024204594219,Inf,0.143560823922482,0.0499578502588111,0.9739,0.974
